大笨屏7月4日FJ家转发数

时间    转发数  页数
[22:00] 433760 page:1751
[21:30] 381890 page:6938
[21:00] 365640 page:8563
[20:30] 352220 page:9905
[20:00] 309100 page:14217
[19:30] 297850 page:15342
[19:00] 277850 page:17342
[18:30] 246300 page:20497
[18:00] 238350 page:21292
[17:30] 232430 page:21884
[17:00] 221180 page:23009
[16:30] 197430 page:25384
[16:00] 193710 page:25756
[15:30] 190590 page:26068
[15:00] 187720 page:26355
[14:30] 182100 page:26917
[14:00] 166480 page:28479
[13:30] 148070 page:30320
[13:00] 130900 page:32037
[12:30] 115900 page:33537
[12:00] 102020 page:34925
